Ferrari 360 Modena;N8X 6X1;Red;Stewart Lott
Nissan GT-R;D3H 9E5;Blue;Len Mccray
Chevrolet Corvette;O1M 5Q7;Silver;Janos Haney
Alfa Romeo Spider;U5G 0T1;Black;Dalton Hunter
Porsche Carrera GT;K4C 7D7;Red;Jaime Lannister
Lamborghini Diablo;E1K 3T3;Red;Aladdin Garza
Hudson Hornet;X9A 0E2;Silver;Jaime Bowers
Ford Thunderbird;K8E 1T4;White;Blake Humphrey
DeLorean DMC-12, elit;Z5M 8D5;Silver;Janos Declan
Lamborghini Reventon;X4B 2Z5;Pink;Janos Beach
Austin-Healey 3000;Y7H 1K8;Blue;Arsenio Beard
BMW M1;D3J 9P8;Yellow;Uriel Perez
Honda S2000;R9C 5L7;White;Abbot Richmond
Lotus Elise;T2H 7X4;Green;Jason Ward
Ferrari F40;Z5L 4D4;Black,;Davis Marquez
SS Cars SS100;W6Y 0C2;Red;Thaddeus Cooley
Triumph Spitfire;D2W 0A9;White;Dorian Brewer
BMW Z8;P5U 8U3;Blue;Janos Poole
Talbot-Lago T150 CSS;X0Y 2G5;Black;Cain Mcmillan
Porsche 918 Spyder;Z1E 3D7;Red;Cersei Bartlett
Lincoln Continental;U4E 5R0;Red;Janos Steele
Shelby Ford Mustang GT-500;E5G 1Y5;Red;Casey Hyde
Lexus LFA;E5G 1Y5;White;Jane Bowie
Morgan Plus 4;E5G 1Y5;Purple;Nikolaj Andrews
Lamborghini Huracan;E5G 1Y5;Red;Meredith Bowie
